time (ms),datetime,samples,Viavi.Cell.Name,Viavi.isEnergySaving,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbUsedDl,RRU.PrbUsedUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotUl,RRU.PrbTotDl,RRU.MaxLayerDlMimo,CARR.AverageLayersDl,Viavi.Cell.AverageBeamsDl,RRC.ConnMean,RRC.ConnMax,QosFlow.TotPdcpPduVolumeUl,QosFlow.TotPdcpPduVolumeDl,PEE.AvgPower,PEE.Energy,Viavi.PEE.SleepTimerTotal,MM.HoExeIntraReq,MM.HoExeIntraSucc,MM.HoExeInterReq,MM.HoExeInterSucc,Viavi.PEE.EnergyEfficiency,Viavi.Radio.power,Viavi.Radio.antennaType,Viavi.Radio.azimuth,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.GnbDuId,Viavi.RuId,Viavi.NrPci,Viavi.NrCgi,Viavi.Cell.LinkCost,RRC.ConnEstabAtt.mo-Data,RRC.ConnEstabAtt.mo-VoiceCall,RRC.ConnEstabAtt.mo-VideoCall,RRC.ConnEstabSucc.mo-Data,RRC.ConnEstabSucc.mo-VoiceCall,RRC.ConnEstabSucc.mo-VideoCall,RRC.ConnEstabFailCause.NetworkReject,Viavi.Frequency,Viavi.SpectralEfficiencyDl,Viavi.SpectralEfficiencyUl,Viavi.QoS.Score
1672553700000,2023-01-01 06:15:00 ~ 06:29:59,900,S2/N1/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.355473,0,0,0,0,0,0,50,1,240,1232,1051,10,2,3,27,4240821235048450,0,0,0,0,0,0,0,0,2100,0,0,0
1672553700000,2023-01-01 06:15:00 ~ 06:29:59,900,S3/N1/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.355473,0,0,0,0,0,0,50,1,0,-953,65,10,3,5,28,4240821235048451,0,0,0,0,0,0,0,0,2100,0,0,0
1672553700000,2023-01-01 06:15:00 ~ 06:29:59,900,S3/N1/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.355473,0,0,0,0,0,0,50,1,120,-953,65,10,3,5,29,4240821235048451,0,0,0,0,0,0,0,0,2100,0,0,0
1672553700000,2023-01-01 06:15:00 ~ 06:29:59,900,S3/N1/C3,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,2,360.84,7855.47,103.026,0.656792,0,1,1,0,0,76.2476,50,1,240,-953,65,10,3,5,30,4240821235048451,0,0,0,0,0,0,0,0,2100,0.392773,0.018042,98
1672553700000,2023-01-01 06:15:00 ~ 06:29:59,900,S4/N1/C1,0,15.7109,0.358398,22,106,106,106,100,20,1,1,1,2,2,358.398,15710.9,150.302,0.95788,0,0,0,0,0,104.529,50,1,0,1900,239,10,4,7,31,4240821235048451,0,0,0,0,0,0,0,0,2100,0.785547,0.0179199,98
1672553700000,2023-01-01 06:15:00 ~ 06:29:59,900,S4/N1/C2,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.656751,0,0,0,0,0,76.2476,50,1,120,1900,239,10,4,7,32,4240821235048451,0,0,0,0,0,0,0,0,2100,0.392773,0.018042,98
1672553700000,2023-01-01 06:15:00 ~ 06:29:59,900,S4/N1/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.355473,0,0,0,0,0,0,50,1,240,1900,239,10,4,7,33,4240821235048455,0,0,0,0,0,0,0,0,2100,0,0,0
1672553700000,2023-01-01 06:15:00 ~ 06:29:59,900,S5/N1/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.355473,0,0,0,0,0,0,50,1,0,-1892,-860,10,5,9,34,4240821235048455,0,0,0,0,0,0,0,0,2100,0,0,0
1672553700000,2023-01-01 06:15:00 ~ 06:29:59,900,S5/N1/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.355473,0,0,0,0,0,0,50,1,120,-1892,-860,10,5,9,35,4240821235048455,0,0,0,0,0,0,0,0,2100,0,0,0
1672553700000,2023-01-01 06:15:00 ~ 06:29:59,900,S5/N1/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.355473,0,0,0,0,0,0,50,1,240,-1892,-860,10,5,9,36,4240821235048455,0,0,0,0,0,0,0,0,2100,0,0,0
1672553700000,2023-01-01 06:15:00 ~ 06:29:59,900,S6/N1/C1,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.65673,0,0,0,0,0,76.2476,50,1,0,-127,-1047,10,6,11,37,4240821235048455,0,0,0,0,0,0,0,0,2100,0.392773,0.018042,98
1672553700000,2023-01-01 06:15:00 ~ 06:29:59,900,S6/N1/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.355473,0,0,0,0,0,0,50,1,120,-127,-1047,10,6,11,38,4240821235048455,0,0,0,0,0,0,0,0,2100,0,0,0
1672553700000,2023-01-01 06:15:00 ~ 06:29:59,900,S6/N1/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.355473,0,0,0,0,0,0,50,1,240,-127,-1047,10,6,11,39,4240821235048455,0,0,0,0,0,0,0,0,2100,0,0,0
1672553700000,2023-01-01 06:15:00 ~ 06:29:59,900,S7/N1/C1,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.65673,0,0,0,0,0,76.2476,50,1,0,917,-760,10,7,13,40,4240821235048455,0,0,0,0,0,0,0,0,2100,0.392773,0.018042,98
1672553700000,2023-01-01 06:15:00 ~ 06:29:59,900,S7/N1/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.355473,0,0,0,0,0,0,50,1,120,917,-760,10,7,13,41,4240821235048456,0,0,0,0,0,0,0,0,2100,0,0,0
1672553700000,2023-01-01 06:15:00 ~ 06:29:59,900,S7/N1/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.355473,0,0,0,0,0,0,50,1,240,917,-760,10,7,13,42,4240821235048456,0,0,0,0,0,0,0,0,2100,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S1/N12/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,0,-535,907,10,1,2,1,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S1/N12/C2,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.682418,0,0,0,0,0,76.2476,50,1,120,-535,907,10,1,2,2,4240821235048448,0,0,0,0,0,0,0,0,700,0.392773,0.018042,98
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S1/N12/C3,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.682493,0,0,0,0,0,76.2476,50,1,240,-535,907,10,1,2,3,4240821235048448,0,0,0,0,0,0,0,0,700,0.392773,0.018042,98
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S2/N12/C1,0,23.2344,0.355957,36,106,106,106,100,33,1,1,1,3,3,355.957,23234.4,210.136,1.3925,0,0,0,0,0,110.568,50,1,0,1232,1051,10,2,4,4,4240821235048448,0,0,0,0,0,0,0,0,700,1.16172,0.0177979,97
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S2/N12/C2,0,15.7109,0.358398,22,106,106,106,100,20,1,1,1,2,2,358.398,15710.9,150.302,0.995443,0,0,0,0,0,104.529,50,1,120,1232,1051,10,2,4,5,4240821235048448,0,0,0,0,0,0,0,0,700,0.785547,0.0179199,98
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S2/N12/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,240,1232,1051,10,2,4,6,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S3/N12/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,0,-953,65,10,3,6,7,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S3/N12/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,120,-953,65,10,3,6,8,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S3/N12/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,240,-953,65,10,3,6,9,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S4/N12/C1,0,0,0,0,0,106,106,0,0,0,0,1,0,1,0,0,55.75,0.369501,0,1,1,0,0,0,50,1,0,1900,239,10,4,8,10,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S4/N12/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,120,1900,239,10,4,8,11,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S4/N12/C3,0,0,0,0,0,106,106,0,0,0,0,1,0,1,0,0,55.75,0.3696,0,1,1,0,0,0,50,1,240,1900,239,10,4,8,12,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S5/N12/C1,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.682413,0,0,0,0,0,76.2476,50,1,0,-1892,-860,10,5,10,13,4240821235048448,0,0,0,0,0,0,0,0,700,0.392773,0.018042,98
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S5/N12/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,120,-1892,-860,10,5,10,14,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S5/N12/C3,0,15.7109,0.358398,22,106,106,106,100,20,1,1,1,2,2,358.398,15710.9,150.302,0.995495,0,0,0,0,0,104.529,50,1,240,-1892,-860,10,5,10,15,4240821235048448,0,0,0,0,0,0,0,0,700,0.785547,0.0179199,98
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S6/N12/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,0,-127,-1047,10,6,12,16,4240821235048449,0,0,0,0,0,0,0,0,700,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S6/N12/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,120,-127,-1047,10,6,12,17,4240821235048450,0,0,0,0,0,0,0,0,700,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S6/N12/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,240,-127,-1047,10,6,12,18,4240821235048450,0,0,0,0,0,0,0,0,700,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S7/N12/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,0,917,-760,10,7,14,19,4240821235048450,0,0,0,0,0,0,0,0,700,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S7/N12/C2,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.682491,0,0,0,0,0,76.2476,50,1,120,917,-760,10,7,14,20,4240821235048450,0,0,0,0,0,0,0,0,700,0.392773,0.018042,98
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S7/N12/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,240,917,-760,10,7,14,21,4240821235048450,0,0,0,0,0,0,0,0,700,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S1/N1/C1,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.682491,0,0,0,0,0,76.2476,50,1,0,-535,907,10,1,1,22,4240821235048450,0,0,0,0,0,0,0,0,2100,0.392773,0.018042,98
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S1/N1/C2,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.682491,0,0,0,0,0,76.2476,50,1,120,-535,907,10,1,1,23,4240821235048450,0,0,0,0,0,0,0,0,2100,0.392773,0.018042,98
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S1/N1/C3,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.682579,0,0,0,0,0,76.2476,50,1,240,-535,907,10,1,1,24,4240821235048450,0,0,0,0,0,0,0,0,2100,0.392773,0.018042,98
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S2/N1/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,0,1232,1051,10,2,3,25,4240821235048450,0,0,0,0,0,0,0,0,2100,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S2/N1/C2,0,0,0,0,0,106,106,0,0,0,0,1,0,1,0,0,55.75,0.369498,0,1,1,0,0,0,50,1,120,1232,1051,10,2,3,26,4240821235048450,0,0,0,0,0,0,0,0,2100,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S2/N1/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,240,1232,1051,10,2,3,27,4240821235048450,0,0,0,0,0,0,0,0,2100,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S3/N1/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,0,-953,65,10,3,5,28,4240821235048451,0,0,0,0,0,0,0,0,2100,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S3/N1/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,120,-953,65,10,3,5,29,4240821235048451,0,0,0,0,0,0,0,0,2100,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S3/N1/C3,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,2,360.84,7855.47,103.026,0.682541,0,1,1,0,0,76.2476,50,1,240,-953,65,10,3,5,30,4240821235048451,0,0,0,0,0,0,0,0,2100,0.392773,0.018042,98
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S4/N1/C1,0,15.7109,0.358398,22,106,106,106,100,20,1,1,1,2,2,358.398,15710.9,150.302,0.995431,0,0,0,0,0,104.529,50,1,0,1900,239,10,4,7,31,4240821235048451,0,0,0,0,0,0,0,0,2100,0.785547,0.0179199,98
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S4/N1/C2,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.6825,0,0,0,0,0,76.2476,50,1,120,1900,239,10,4,7,32,4240821235048451,0,0,0,0,0,0,0,0,2100,0.392773,0.018042,98
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S4/N1/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,240,1900,239,10,4,7,33,4240821235048455,0,0,0,0,0,0,0,0,2100,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S5/N1/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,0,-1892,-860,10,5,9,34,4240821235048455,0,0,0,0,0,0,0,0,2100,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S5/N1/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,120,-1892,-860,10,5,9,35,4240821235048455,0,0,0,0,0,0,0,0,2100,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S5/N1/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,240,-1892,-860,10,5,9,36,4240821235048455,0,0,0,0,0,0,0,0,2100,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S6/N1/C1,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.682479,0,0,0,0,0,76.2476,50,1,0,-127,-1047,10,6,11,37,4240821235048455,0,0,0,0,0,0,0,0,2100,0.392773,0.018042,98
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S6/N1/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,120,-127,-1047,10,6,11,38,4240821235048455,0,0,0,0,0,0,0,0,2100,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S6/N1/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,240,-127,-1047,10,6,11,39,4240821235048455,0,0,0,0,0,0,0,0,2100,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S7/N1/C1,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.682479,0,0,0,0,0,76.2476,50,1,0,917,-760,10,7,13,40,4240821235048455,0,0,0,0,0,0,0,0,2100,0.392773,0.018042,98
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S7/N1/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,120,917,-760,10,7,13,41,4240821235048456,0,0,0,0,0,0,0,0,2100,0,0,0
1672554600000,2023-01-01 06:30:00 ~ 06:44:59,900,S7/N1/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.369421,0,0,0,0,0,0,50,1,240,917,-760,10,7,13,42,4240821235048456,0,0,0,0,0,0,0,0,2100,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S1/N12/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.383368,0,0,0,0,0,0,50,1,0,-535,907,10,1,2,1,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S1/N12/C2,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.708167,0,0,0,0,0,76.2476,50,1,120,-535,907,10,1,2,2,4240821235048448,0,0,0,0,0,0,0,0,700,0.392773,0.018042,98
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S1/N12/C3,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.708242,0,0,0,0,0,76.2476,50,1,240,-535,907,10,1,2,3,4240821235048448,0,0,0,0,0,0,0,0,700,0.392773,0.018042,98
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S2/N12/C1,0,23.2344,0.355957,36,106,106,106,100,33,1,1,1,3,3,355.957,23234.4,210.136,1.44507,0,0,0,0,0,110.568,50,1,0,1232,1051,10,2,4,4,4240821235048448,0,0,0,0,0,0,0,0,700,1.16172,0.0177979,97
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S2/N12/C2,0,15.7109,0.358398,22,106,106,106,100,20,1,1,1,2,2,358.398,15710.9,150.302,1.03299,0,0,0,0,0,104.529,50,1,120,1232,1051,10,2,4,5,4240821235048448,0,0,0,0,0,0,0,0,700,0.785547,0.0179199,98
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S2/N12/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.383368,0,0,0,0,0,0,50,1,240,1232,1051,10,2,4,6,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S3/N12/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.383368,0,0,0,0,0,0,50,1,0,-953,65,10,3,6,7,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S3/N12/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.383368,0,0,0,0,0,0,50,1,120,-953,65,10,3,6,8,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S3/N12/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.383368,0,0,0,0,0,0,50,1,240,-953,65,10,3,6,9,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S4/N12/C1,0,0,0,0,0,106,106,0,0,0,0,1,0,1,0,0,55.75,0.383448,0,1,1,0,0,0,50,1,0,1900,239,10,4,8,10,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S4/N12/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.383368,0,0,0,0,0,0,50,1,120,1900,239,10,4,8,11,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S4/N12/C3,0,0,0,0,0,106,106,0,0,0,0,1,0,1,0,0,55.75,0.383548,0,1,1,0,0,0,50,1,240,1900,239,10,4,8,12,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S5/N12/C1,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.708162,0,0,0,0,0,76.2476,50,1,0,-1892,-860,10,5,10,13,4240821235048448,0,0,0,0,0,0,0,0,700,0.392773,0.018042,98
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S5/N12/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.383368,0,0,0,0,0,0,50,1,120,-1892,-860,10,5,10,14,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S5/N12/C3,0,15.7109,0.358398,22,106,106,106,100,20,1,1,1,2,2,358.398,15710.9,150.302,1.03305,0,0,0,0,0,104.529,50,1,240,-1892,-860,10,5,10,15,4240821235048448,0,0,0,0,0,0,0,0,700,0.785547,0.0179199,98
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S6/N12/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.383368,0,0,0,0,0,0,50,1,0,-127,-1047,10,6,12,16,4240821235048449,0,0,0,0,0,0,0,0,700,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S6/N12/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.383368,0,0,0,0,0,0,50,1,120,-127,-1047,10,6,12,17,4240821235048450,0,0,0,0,0,0,0,0,700,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S6/N12/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.383368,0,0,0,0,0,0,50,1,240,-127,-1047,10,6,12,18,4240821235048450,0,0,0,0,0,0,0,0,700,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S7/N12/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.383368,0,0,0,0,0,0,50,1,0,917,-760,10,7,14,19,4240821235048450,0,0,0,0,0,0,0,0,700,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S7/N12/C2,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.708241,0,0,0,0,0,76.2476,50,1,120,917,-760,10,7,14,20,4240821235048450,0,0,0,0,0,0,0,0,700,0.392773,0.018042,98
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S7/N12/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.383368,0,0,0,0,0,0,50,1,240,917,-760,10,7,14,21,4240821235048450,0,0,0,0,0,0,0,0,700,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S1/N1/C1,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.708241,0,0,0,0,0,76.2476,50,1,0,-535,907,10,1,1,22,4240821235048450,0,0,0,0,0,0,0,0,2100,0.392773,0.018042,98
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S1/N1/C2,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.708241,0,0,0,0,0,76.2476,50,1,120,-535,907,10,1,1,23,4240821235048450,0,0,0,0,0,0,0,0,2100,0.392773,0.018042,98
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S1/N1/C3,0,7.85547,0.36084,11,106,106,106,100,10,1,1,1,1,1,360.84,7855.47,103.026,0.708329,0,0,0,0,0,76.2476,50,1,240,-535,907,10,1,1,24,4240821235048450,0,0,0,0,0,0,0,0,2100,0.392773,0.018042,98
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S2/N1/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.383368,0,0,0,0,0,0,50,1,0,1232,1051,10,2,3,25,4240821235048450,0,0,0,0,0,0,0,0,2100,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S2/N1/C2,0,0,0,0,0,106,106,0,0,0,0,1,0,1,0,0,55.75,0.383446,0,1,1,0,0,0,50,1,120,1232,1051,10,2,3,26,4240821235048450,0,0,0,0,0,0,0,0,2100,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S2/N1/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.383368,0,0,0,0,0,0,50,1,240,1232,1051,10,2,3,27,4240821235048450,0,0,0,0,0,0,0,0,2100,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S3/N1/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.383368,0,0,0,0,0,0,50,1,0,-953,65,10,3,5,28,4240821235048451,0,0,0,0,0,0,0,0,2100,0,0,0
1672555500000,2023-01-01 06:45:00 ~ 06:59:59,900,S3/N1/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.383368,0,0,0,0,0,0,50,1,120,-953,65,10,3,5,29,4240821235048451,0,0,0,0,0,0,0,0,2100,0,0,0
